Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ASG002__Ausgaben_fuer_den_Umweltschutz__Mill._EUR
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;12870
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15090
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;320
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;3090
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1550
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;180
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;13060
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15280
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;310
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2980
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1460
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;60
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;240
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;12900
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15980
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;360
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2910
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1470
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;110
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;260
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;13060
