,Zeit,Nutzungsart,Bodenfläche (qkm),Bodenfläche (qkm)_start,Normalisiert
0,2016-12-31,Siedlung,32770.07,32770.07,100.0
1,2017-12-31,Siedlung,32985.99,32770.07,100.65889392363215
2,2018-12-31,Siedlung,33267.97,32770.07,101.51937423386646
3,2019-12-31,Siedlung,33433.07,32770.07,102.02318762211982
4,2020-12-31,Siedlung,33616.33,32770.07,102.58241743151602
5,2021-12-31,Siedlung,33708.92,32770.07,102.86496183865337
6,2016-12-31,Wohnbaufläche,13668.66,13668.66,100.0
7,2017-12-31,Wohnbaufläche,13723.66,13668.66,100.40238033574616
8,2018-12-31,Wohnbaufläche,13751.49,13668.66,100.6059847856337
9,2019-12-31,Wohnbaufläche,13824.4,13668.66,101.13939479071101
10,2020-12-31,Wohnbaufläche,13938.67,13668.66,101.97539480826943
11,2021-12-31,Wohnbaufläche,14052.76,13668.66,102.81007794472904
12,2016-12-31,Industrie- und Gewerbefläche,6061.04,6061.04,100.0
13,2017-12-31,Industrie- und Gewerbefläche,6105.85,6061.04,100.73931206525613
