name,aggregate,longitude,latitude,region,adminregion,lendingType,incomeLevel,capitalCity
Togo,False,1.2255,6.1228,SSF,SSA,IDX,LIC,Lome
Thailand,False,100.521,13.7308,EAS,EAP,IBD,UMC,Bangkok
Tajikistan,False,68.7864,38.5878,ECS,ECA,IDX,LMC,Dushanbe
Turkmenistan,False,58.3794,37.9509,ECS,ECA,IBD,UMC,Ashgabat
Latin America & the Caribbean (IDA & IBRD countries),True,,,,,,,
Timor-Leste,False,125.567,-8.56667,EAS,EAP,IDB,LMC,Dili
Middle East & North Africa (IDA & IBRD countries),True,,,,,,,
Tonga,False,-175.216,-21.136,EAS,EAP,IDX,UMC,Nuku'alofa
South Asia (IDA & IBRD),True,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),True,,,,,,,
Trinidad and Tobago,False,-61.4789,10.6596,LCN,,IBD,HIC,Port-of-Spain
Tunisia,False,10.21,36.7899,MEA,MNA,IBD,LMC,Tunis
Turkiye,False,32.3606,39.7153,ECS,ECA,IBD,UMC,Ankara
Tuvalu,False,179.089567,-8.6314877,EAS,EAP,IDX,UMC,Funafuti
Tanzania,False,35.7382,-6.17486,SSF,SSA,IDX,LMC,Dodoma
Uganda,False,32.5729,0.314269,SSF,SSA,IDX,LIC,Kampala
Ukraine,False,30.5038,50.4536,ECS,ECA,IBD,LMC,Kiev
Upper middle income,True,,,,,,,
Uruguay,False,-56.0675,-34.8941,LCN,,IBD,HIC,Montevideo
United States,False,-77.032,38.8895,NAC,,LNX,HIC,Washington D.C.
Uzbekistan,False,69.269,41.3052,ECS,ECA,IDB,LMC,Tashkent
St. Vincent and the Grenadines,False,-61.2653,13.2035,LCN,LAC,IDB,UMC,Kingstown
"Venezuela, RB",False,-69.8371,9.08165,LCN,,IBD,INX,Caracas
British Virgin Islands,False,-64.623056,18.431389,LCN,,LNX,HIC,Road Town
Virgin Islands (U.S.),False,-64.8963,18.3358,LCN,,LNX,HIC,Charlotte Amalie
Vietnam,False,105.825,21.0069,EAS,EAP,IBD,LMC,Hanoi
Vanuatu,False,168.321,-17.7404,EAS,EAP,IDX,LMC,Port-Vila
World,True,,,,,,,
Samoa,False,-171.752,-13.8314,EAS,EAP,IDX,LMC,Apia
Kosovo,False,20.926,42.565,ECS,ECA,IDX,UMC,Pristina
"Yemen, Rep.",False,44.2075,15.352,MEA,MNA,IDX,LIC,Sana'a
South Africa,False,28.1871,-25.746,SSF,SSA,IBD,UMC,Pretoria
Zambia,False,28.2937,-15.3982,SSF,SSA,IDX,LIC,Lusaka
Zimbabwe,False,31.0672,-17.8312,SSF,SSA,IDB,LMC,Harare
